                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.94,                 2.9605,                  1.537,                0.05828,                 0.2628,                0.07557,                0.02197,                 3.7812,                 4.0875,                 1.4721,               0.076048,                4.8e-05,                4.8e-05
                      1,                   2.94,                 2.9605,                  1.537,                0.05828,                 0.2628,                0.07557,                0.02197,                 3.7812,                 4.0875,                 1.4721,               0.076048,                4.8e-05,                4.8e-05
                      2,                 2.5039,                 1.7966,                 1.1476,                0.16551,                0.25784,                0.15087,                0.04999,                 3.1299,                 2.4148,                 1.3028,               0.051097,              9.694e-05,              9.694e-05
                      3,                 2.3122,                 1.5901,                 1.0977,                0.36068,                0.30063,                0.26069,                0.10744,                 2.3276,                 1.9637,                 1.0903,               0.026142,             0.00014167,             0.00014167
                      4,                  2.166,                 1.4919,                 1.0691,                 0.4046,                0.35996,                0.32252,                0.14733,                 2.0213,                 1.7284,                 1.0273,              0.0011793,             0.00017928,             0.00017928
                      5,                 2.1288,                 1.4628,                 1.0557,                0.42122,                0.37744,                0.35478,                0.17288,                 1.9411,                  1.566,                 1.0417,             0.00016724,             0.00016724,             0.00016724
                      6,                 1.8849,                 1.4071,                 1.0087,                0.49179,                0.37875,                0.40427,                0.19524,                  1.915,                  1.517,                 1.0493,             0.00016724,             0.00016724,             0.00016724
                      7,                 1.8382,                  1.365,                 1.0053,                0.48328,                0.39518,                0.41133,                0.20493,                 1.8503,                 1.4395,                 1.0277,              0.0001505,              0.0001505,              0.0001505
                      8,                   1.81,                 1.3353,                0.99718,                0.49677,                0.41472,                0.43145,                0.21548,                 1.8279,                 1.3898,                 1.0226,             0.00013159,             0.00013159,             0.00013159
                      9,                 1.7881,                 1.3204,                 0.9909,                0.49062,                 0.4281,                0.43599,                0.21928,                 1.8012,                 1.3933,                 1.0153,             0.00011135,             0.00011135,             0.00011135
                     10,                 1.7755,                 1.3003,                0.98831,                0.49154,                0.43236,                0.43944,                0.22216,                 1.7928,                 1.3896,                 1.0135,             9.0652e-05,             9.0652e-05,             9.0652e-05
                     11,                 1.7461,                 1.2828,                0.97769,                0.50027,                0.43667,                0.44703,                0.22799,                 1.7767,                 1.3786,                 1.0095,             7.0407e-05,             7.0407e-05,             7.0407e-05
                     12,                 1.7383,                 1.2748,                0.98063,                0.52626,                0.44534,                0.46585,                0.23733,                 1.7641,                 1.3341,                 1.0096,               5.15e-05,               5.15e-05,               5.15e-05
                     13,                 1.7458,                 1.2651,                 0.9772,                 0.5222,                  0.452,                0.46685,                0.23646,                 1.7641,                  1.333,                 1.0081,             3.4756e-05,             3.4756e-05,             3.4756e-05
                     14,                 1.7306,                 1.2576,                0.97806,                0.52196,                0.45512,                0.46907,                0.23947,                 1.7509,                 1.3261,                 1.0036,             2.0907e-05,             2.0907e-05,             2.0907e-05
                     15,                 1.7168,                 1.2548,                0.97629,                0.52091,                0.45175,                0.46724,                0.23903,                 1.7518,                 1.3279,                 1.0034,             1.0559e-05,             1.0559e-05,             1.0559e-05
                      1,                   2.94,                 2.9605,                  1.537,                0.05828,                 0.2628,                0.07557,                0.02197,                 3.7812,                 4.0875,                 1.4721,               0.076048,                4.8e-05,                4.8e-05
                      2,                 2.5039,                 1.7966,                 1.1476,                0.16551,                0.25784,                0.15087,                0.04999,                 3.1299,                 2.4148,                 1.3028,               0.051097,              9.694e-05,              9.694e-05
                      3,                 2.3122,                 1.5901,                 1.0977,                0.36068,                0.30063,                0.26069,                0.10744,                 2.3276,                 1.9637,                 1.0903,               0.026142,             0.00014167,             0.00014167
                      4,                  2.166,                 1.4919,                 1.0691,                 0.4046,                0.35996,                0.32252,                0.14733,                 2.0213,                 1.7284,                 1.0273,              0.0011793,             0.00017928,             0.00017928
                      5,                 2.1288,                 1.4628,                 1.0557,                0.42122,                0.37744,                0.35478,                0.17288,                 1.9411,                  1.566,                 1.0417,             0.00016724,             0.00016724,             0.00016724
                      6,                 1.8849,                 1.4071,                 1.0087,                0.49179,                0.37875,                0.40427,                0.19524,                  1.915,                  1.517,                 1.0493,             0.00016724,             0.00016724,             0.00016724
                      7,                 1.8382,                  1.365,                 1.0053,                0.48328,                0.39518,                0.41133,                0.20493,                 1.8503,                 1.4395,                 1.0277,              0.0001505,              0.0001505,              0.0001505
                      8,                   1.81,                 1.3353,                0.99718,                0.49677,                0.41472,                0.43145,                0.21548,                 1.8279,                 1.3898,                 1.0226,             0.00013159,             0.00013159,             0.00013159
                      9,                 1.7881,                 1.3204,                 0.9909,                0.49062,                 0.4281,                0.43599,                0.21928,                 1.8012,                 1.3933,                 1.0153,             0.00011135,             0.00011135,             0.00011135
                     10,                 1.7755,                 1.3003,                0.98831,                0.49154,                0.43236,                0.43944,                0.22216,                 1.7928,                 1.3896,                 1.0135,             9.0652e-05,             9.0652e-05,             9.0652e-05
                     11,                 1.7461,                 1.2828,                0.97769,                0.50027,                0.43667,                0.44703,                0.22799,                 1.7767,                 1.3786,                 1.0095,             7.0407e-05,             7.0407e-05,             7.0407e-05
                     12,                 1.7383,                 1.2748,                0.98063,                0.52626,                0.44534,                0.46585,                0.23733,                 1.7641,                 1.3341,                 1.0096,               5.15e-05,               5.15e-05,               5.15e-05
